English;Polish
He told us a very exciting adventure story.;Opowiedział nam bardzo ekscytującą historię przygodową.
She always speaks to him in a loud voice.;Zawsze mówi do niego głośno.
I want more detailed information.;Chcę bardziej szczegółowych informacji.
I checked to make sure that he was still alive.;Sprawdziłem, czy wciąż żyje.
I'd rather be a bird than a fish.;Wolę być ptakiem niż rybą.
Mary plays the piano.;Mary gra na pianinie.
She did her best to help him.;Zrobiła wszystko, co w jej mocy, by mu pomóc.
She borrowed the book from him many years ago and hasn't yet returned it.;Pożyczyła od niego książkę wiele lat temu i do tej pory jej nie zwróciła.
She wrote him a long letter, but he didn't read it.;Napisała do niego długi list, ale on go nie przeczytał.
Please wait outside of the house.;Proszę poczekać na zewnątrz domu.
Two seats were vacant.;Dwa miejsca były wolne.
Tom got a small piece of pie.;Tom dostał mały kawałek ciasta.
She folded her handkerchief neatly.;Starannie złożyła swoją chusteczkę.
We have a lot of rain in June.;W czerwcu mamy dużo deszczu.
I am never at home on Sundays.;Nigdy nie ma mnie w domu w niedziele.
Don't step on the broken glass.;Nie nadepnij na stłuczone szkło.
She advised him to come back at once.;Poradziła mu, żeby natychmiast wrócił.
Let me help you with your baggage.;Pozwól, że pomogę ci z bagażem.
The book is in front of the table.;Książka jest przed stołem.
The mysterious diary records the voice.;Tajemniczy dziennik rejestruje głos.
The stranger officiates the meal.;Nieznajomy przewodniczy posiłkowi.
The shooter says goodbye to his love.;Strzelec żegna się ze swoją ukochaną.
A glittering gem is not enough.;Błyszczący klejnot to za mało.
The memory we used to share is no longer coherent.;Wspomnienie, które dzieliliśmy, nie jest już spójne.
The old apple revels in its authority.;Stare jabłko rozkoszuje się swoją władzą.
Rock music approaches at high velocity.;Muzyka rockowa zbliża się z dużą prędkością.
Sixty-Four comes asking for bread.;Sześćdziesięciu czterech przychodzi po chleb.
Abstraction is often one floor above you.;Abstrakcja często jest piętro wyżej od ciebie.
The river stole the gods.;Rzeka ukradła bogów.
"Joe made the sugar cookies; Susan decorated them.";Joe zrobił ciasteczka z cukrem i  Susan je ozdobiła.
"The sky is clear; the stars are twinkling.";Niebo jest czyste i gwiazdy migoczą.
"The waves were crashing on the shore; it was a lovely sight.";Fale rozbijały się o brzeg i to był piękny widok.
"There were white out conditions in the town; subsequently, the roads were impassable.";W mieście panowały warunki zamieci śnieżnej, w konsekwencji drogi były nieprzejezdne.
"Check back tomorrow; I will see if the book has arrived.";Sprawdź jutro, zobaczę, czy książka dotarła.
"He said he was not there yesterday; however, many people saw him there.";Powiedział, że nie było go tam wczoraj, jednak wiele osób go tam widziało.
"I am happy to take your donation; any amount will be greatly appreciated.";Cieszę się, że mogę przyjąć twoją darowiznę, każda kwota będzie mile widziana.
"She only paints with bold colors; she does not like pastels.";Ona maluje tylko odważnymi kolorami, nie lubi pasteli.
"She works two jobs to make ends meet; at least, that was her reason for not having time to join us.";Pracuje na dwóch etatach, żeby związać koniec z końcem, a przynajmniej tak tłumaczyła brak czasu, by do nas dołączyć.
"Malls are great places to shop; I can find everything I need under one roof.";Galerie handlowe to świetne miejsca na zakupy, mogę znaleźć wszystko, czego potrzebuję pod jednym dachem.
"Italy is my favorite country; in fact, I plan to spend two weeks there next year.";Włochy to mój ulubiony kraj, właściwie planuję spędzić tam dwa tygodnie w przyszłym roku.
"He turned in the research paper on Friday; otherwise, he would have not passed the class.";Oddał pracę badawczą w piątek, inaczej nie zaliczyłby zajęć.
She did not cheat on the test, for it was not the right thing to do.;Nie ściągała na teście, gdyż nie było to właściwe.
I think I will buy the red car, or I will lease the blue one.;Myślę, że kupię czerwony samochód albo wezmę w leasing niebieski.
I really want to go to work, but I am too sick to drive.;Naprawdę chcę iść do pracy, ale jestem zbyt chory, żeby prowadzić.
I am counting my calories, yet I really want dessert.;Liczę kalorie, ale tak bardzo mam ochotę na deser.
He ran out of money, so he had to stop playing poker.;Skończyły mu się pieniądze, więc musiał przestać grać w pokera.
They got there early, and they got really good seats.;Dotarli tam wcześnie i zajęli naprawdę dobre miejsca.
There was no ice cream in the freezer, nor did they have money to go to the store.;Nie było lodów w zamrażarce, ani nie mieli pieniędzy, żeby pójść do sklepu.
Everyone was busy, so I went to the movie alone.;Wszyscy byli zajęci, więc poszedłem do kina sam.
I would have gotten the promotion, but my attendance wasn't good enough.;Dostałbym awans, ale moja frekwencja nie była wystarczająca.
It was getting dark, and we weren't there yet.;Robiło się ciemno, a my jeszcze tam nie dotarliśmy.
Cats are good pets, for they are clean and are not noisy.;Koty są dobrymi zwierzętami domowymi, ponieważ są czyste i nie hałasują.
We have never been to Asia, nor have we visited Africa.;Nigdy nie byliśmy w Azji ani nie odwiedziliśmy Afryki.
He didn't want to go to the dentist, yet he went anyway.;Nie chciał iść do dentysty, ale i tak poszedł.
Sometimes I stare at a door or a wall and I wonder what is this reality, why am I alive, and what is this all about?;Czasem patrzę na drzwi albo ścianę i zastanawiam się, czym jest ta rzeczywistość, dlaczego żyję i o co w tym wszystkim chodzi?
All you need to do is pick up the pen and begin.;Wszystko, co musisz zrobić, to wziąć długopis i zacząć.
Had he known what was going to happen, he would have never stepped into the shower.;Gdyby wiedział, co się wydarzy, nigdy nie wszedłby pod prysznic.
She hadn't had her cup of coffee, and that made things all the worse.;Nie wypiła kawy, co tylko pogorszyło sprawę.
All she wanted was the answer, but she had no idea how much she would hate it.;Chciała tylko poznać odpowiedź, ale nie miała pojęcia, jak bardzo będzie jej nienawidzić.
It must be five o'clock somewhere.;Gdzieś musi być godzina piąta.
He went back to the video to see what had been recorded and was shocked at what he saw.;Wrócił do nagrania, żeby sprawdzić, co na nim nagrano, i to, co zobaczył, go zszokowało.
Behind the window was a reflection that only instilled fear.;Za oknem znajdowało się odbicie, które budziło tylko strach.
That was how he came to win $1 million.;W ten sposób wygrał milion dolarów.
She could hear him in the shower singing with a joy she hoped he'd retain after she delivered the news.;Słyszała, jak śpiewa pod prysznicem z radością, którą miała nadzieję, że zachowa, gdy przekaże mu wiadomość.
As he looked out the window, he saw a clown walk by.;Gdy spojrzał przez okno, zobaczył przechodzącego klauna.
There should have been a time and a place, but this wasn't it.;Powinien być na to odpowiedni czas i miejsce, ale nie teraz.
It was the best sandcastle he had ever seen.;To był najlepszy zamek z piasku, jaki kiedykolwiek widział.
There's an art to getting your way, and spitting olive pits across the table isn't it.;Sztuką jest postawić na swoim, ale wypluwanie pestek oliwek przez stół nie jest tą sztuką.
They say that dogs are man's best friend, but this cat was setting out to sabotage that theory.;Mówią, że pies jest najlepszym przyjacielem człowieka, ale ten kot postanowił obalić tę teorię.
Of course, she loves her pink bunny slippers.;Oczywiście, że uwielbia swoje różowe kapcie w kształcie króliczków.
Don't put peanut butter on the dog's nose.;Nie smaruj psu nosa masłem orzechowym.
She can live her life however she wants as long as she listens to what I have to say.;Może żyć jak chce, dopóki słucha tego, co mam do powiedzenia.
There are few things better in life than a slice of pie.;Niewiele jest w życiu rzeczy lepszych niż kawałek ciasta.
Not all people who wander are lost.;Nie wszyscy ludzie, którzy błądzą, są zagubieni.
